,tweet_id,author_id,conversation_id,text,Odio,Mujeres,Comunidad LGBTQ+,Comunidades Migrantes,Pueblos Originarios
0,1399516036240662528,1329989512391438336,(),"En una amistad o soy tipo: 
Lo peor es que siempre es así lskdkdnff https://t.co/813bPNQZqR",0,0,0,0,0
1,1320788179721560065,1319131581949378560,(),QUIEN FUE LA MARACA CULIA TE VOY A MATAR PERRA DE MIERDVA,1,1,0,0,0
2,1079889645280944129,2328230546,(),menos mal q se recibe el año con ropa blanca jajajajjajajajajja siempre d negro 🤞🏼🤞🏼🤞🏼🤞🏼,0,0,0,0,0
3,1369254390134145033,819218347049029633,"(1369117564811550720,)",Cuantos INFILTRADOS extranjeros hay ahi😡 https://t.co/JtJixcR5kK,1,0,0,1,0
4,1533854824378290176,1229941558411243520,(),"#ENCONTRADO #GUAYAQUIL
Fecha: 06/06/22
Sector: Norte, Autopista, a la altura del puente que une Samborondon con Sauces
Sexo: Macho.
Raza: Doberman Pinscher.
Obsv.: Negro con beige.
Contacto: 0967948036
¡Ayúdalo volver con su familia!
#AlertaMePerdí https://t.co/D3IHyKxUCU",0,0,0,0,0
5,1233127781707333632,89341591,(),Ana Maraca culia #Los80,0,1,0,0,0
6,1236449069129760769,1187552144553103360,(),Veneco por retrazo de maton. https://t.co/8jTzJTxzNc,1,0,0,1,0
7,1533855732193452033,1513672523262611462,"(1533806161673207808,)","@dazaitloml lo tenía, pero me obligaron a volver al negro",0,0,0,0,0
8,1528017777025437696,2891438032,(),"MUY LAMENTABLE SR MINISTRO , PERO MIENTRAS MAS INMIGRANTES ILEGALES HAY , MAS FRECUENTE SERAN ESTAS NOTICIAS . DEJEN DE IMPORTAR MISERIA . CIERREN LAS FRONTERAS ! #NoEsInmigracionEsInvasion  @carlosmontestwt https://t.co/fp0qZVINUT",1,0,0,1,0
9,1079889829779910656,972566360269172741,"(1079883904318930944, 1079878275118350336, 1079880809887268864)",@MrElDiablo8 Un angelito ya está con dios😢.........jajajajaj que se pudra en el infierno el hijo de la gran puta.,1,0,0,0,0
10,1465832990265810946,544304971,"(1465489988892639232,)",@marioherzam @PEDCAS Locas suena como divertido. Mejor así: Las desequilibradas y nefastas propuestas de Aureliano para el país. @petrogustavo,0,0,0,0,0
11,1323477910922186757,240901301,(),@NayNgc Matate feminazi,1,1,0,0,0
12,1533854731495346177,1067453298742099968,(),"@CNNChile @tv_monica Porque??? Tan enojada señora si usted si usted válido toda la violencia el 18O aplaudía como loca a los 🐒 su hermano es un maltratador usted apoyo a un acosador que ahora es presidente 🙄 ummm o sea la guillotina
#CademSeVendio 
#RechazoEl4deSeptiembre",0,0,0,0,0
13,1152013680294289409,795451416009723904,"(1152013037802418176,)",@estoesguerra_tv @AmericaTVGO Que suspenda al nauseabundo chileno....asqueroso tenerlo en la tv nacional...usa elevador en las zapatillas para verse más alto... mapuche HDP... rodríguez.....,1,0,0,0,1
14,1528570167290109954,194089615,(),"Puto Curry macho, imparable",0,0,0,0,0
15,1353112424753278983,217083257,(),Peruano culiao,1,0,0,1,0
16,1158591162833428480,2963161439,"(1158578906208833536,)","@FabiParraguezM @Retro_Arg @TV_Publica y vos te quedaste sin cirugía mapuche mal hecho sos feo ,indio jaja, tenes las mismas copas de Bolivia  horrible ,ojala se los lleve el mar .",1,0,0,0,1
17,1533854186030374913,522635285,(),"@Observer_fb @17FernandoRojas @BlazquezFont @diarioas Si te crees, que florentino, estuvo cerca de los 660 millones que le ha dado el psg al mbappe ,es que no tienes ni puta idea de como esta realmente el barça xD",0,0,0,0,0
18,1528570038281818114,1284915144758366210,(),"@DavidOc26627032 @catrina_nortena No le deseo mal a nadie. 
Pero a este si me gustaría verlo tras las rejas. No por ser del PRI. Porque ese partido ya valió queso. 
Sino por #TRAIDORES_A_LA_PATRIA al votar en contra de la reforma eléctrica. 
Esa si que no se la perdona el pueblo de México...
@alitomorenoc",0,0,0,0,0
