,tweet_id,author_id,conversation_id,text
0,1392475086880378892,193914536,0,"Es acaso obligación formar una familia? 
Acaso es más y mejor persona aquel que la formó que aquel que no la ha formado ?
Por qué aún en el siglo XXI aún se ve la soltería como irrresponsabilidad  e inmadurez?"
1,1405362629896515584,251882678,0,"En punto ""País con enfoque de derechos..""el Sr Jadue propone coordinarse con el Estado de Haití para facilitar documentación que permita ingreso de nacionales de ese país. Mas de 11 millones de personas,60% de pobreza extrema,un Estado Fallido sin control sanitario.¿Eso queremos?"
2,1388653284773273610,1272294464141381639,0,"La prensa les oculta la cara, aquí están los csm que asesinaron a un niño en el sur! Malditos hdp quitarle la vida a un pobre inocente ojalá q en la cárcel la sufran!! 👇👇 https://t.co/abKHWmcrwW"
3,1392559496011173892,70878608,1392551780987424768,"@ketty2409 pucha, yo hablo todos los días con inmigrantes y encuentro que ella tiene un concepto demasiado errado de lo que son los inmigrantes...🙄"
4,1389741691582750720,606831024,0,TIENE UD.IDEA DEL PROBLEMA DE LA MIGRACIÓN HAITIANA ?? https://t.co/HTvdk8AG8k
5,1394384849587294214,1141204035212664833,0,Hoy me siento un poco más cerca de Nueva Zelanda https://t.co/ACQ1W8GjrZ
6,1373655193875836928,1143878995148189696,0,"SEGÚN LA ÚLTIMA ENCUESTA, EL 78% DE LA POBLACIÓN CHILENA,

ESTA DE ACUERDO QUE SE PONGAN FUERTES RESTRICCIONES A LA INMIGRACIÓN EXTRANJERA ILEGAL Y LEGAL"
7,1388142907249541124,1308229735017742337,0,"En mi Comarca, todos nos conocemos y ubicamos, por eso molesta tanto ver las Colas de más de una cuadra cobrando bonos, todos foráneos, la gran mayoría Haitiana, el resto centroamericanos, no ví ningún Coterraneo. Ésto se ve muy mal!!!🤦🤦"
8,1391737478927814658,70878608,0,Se pasarían de brutos los peruanos si eligieran a Pedro Castillo de Presidente...🤔
9,1378326919142248448,90227660,0,"🔴#Nacional 

Déficit habitacional en el país: Faltan más de 600 mil viviendas
Más detalles ⬇

https://t.co/q3NygIT0rc"
10,1390692268386967552,149220543,1390689848802095104,"@edorobi73 Estoy de acuerdo contigo 

En dónde no estoy de acuerdo es que no hay más espacio 

Si entran un millón más de migrantes este país sera mucho más productivo más fuerte 

Obviamente sin bonos ni ayudas sociales"
11,1371645665613332480,613740623,0,"«Hubo venezolanos enviados por Maduro»: La mención de Desbordes a Mónica González sobre los incendios del Metro 
➡️https://t.co/3xQL9RmwAz https://t.co/gIwGuXCTSI"
12,1395797600553652225,100824459,0,Expertos de la ONU piden al gobierno de Chile detener “de inmediato” expulsiones colectivas de migrantes➡️ https://t.co/cExsjvpPcb https://t.co/ZDpPILqUrK
13,1373763512821022721,1265304508076363777,0,"#LoBarnechea: Carabineros de la 53ª Comisaria detuvo a un sujeto por los delitos de  robo en lugar habitado, incumplimiento de medida cautelar e infracción a la norma sanitaria. El imputado registra un amplio prontuario  policial.
#CarabinerosDeTodos https://t.co/urYwR7wAIp"
14,1396967756067708928,622098575,1396965560756363264,yo diria en todo Chile https://t.co/6gK8Y9mzUH
15,1396158885162098692,1345748595488792576,0,"Periodista de @T13 lleva casi 10 minutos criticando la vacunación, que faltan, que nadie controla, que esto, que lo otro, solo tirando 💩 y NO APORTANDO NADA
Y sólo entrevista a extranjeros, los cuales están molestos porque no alcanzaron vacunas
Andaaaaaa
El canal de @aluksicc https://t.co/Tm587K5lYl"
16,1398334858821357568,1163511629742563328,1398089923819884544,"En Japón si el empresario le falla a sus trabajadores o es corrupto, luego de humillarse públicamente, se abre el estómago, me gustaría que los empresarios de acá tuvieran esa filosofía. A lo mejor los trabajadores también serían más eficientes. https://t.co/u9DNn3amzR"
17,1396606050640539652,42102939,0,"¡Chile ya ha recibido 21.022.276 dosis de vacunas para combatir el Covid-19! 💉 Esta tarde llegó un nuevo cargamento de 2,2 millones de vacunas Sinovac, las cuales serán distribuidas en todo el país 🇨🇱 #YoMeVacuno https://t.co/E3geSftuID"
18,1376925751425966084,60912608,0,"✅ APROBADO | Cámara aprueba proyecto que que limita la generación de productos desechables y regula los plásticos en el expendio de alimentos. 

Vuelve al @Senado_Chile por haber recibido indicaciones."
19,1375904218448551936,3223771,0,¿Muy buenos pal copete?: consumo de alcohol sería uno de los factores de incidencia de COVID-19 en Magallanes https://t.co/a1FkbO25BJ https://t.co/NFJbgwSC14
20,1374427741160763396,1125387869726609408,0,"Carabineros de la 3ª Comisaría #AltoHospicio detuvieron a 4 personas que se opusieron a un control policial con motivo de las normativas sanitarias, agrediendo a 6 funcionarios policiales.
Los detenidos cuentan con amplio prontuario policial. https://t.co/s8FT2cDpfM"
21,1403313271097135104,955964877977411585,0,"Luis Gnecco tras un acto de violencia doméstica es juzgado y sentenciado por la opinión pública y pierde su fuente laboral e ingresos 
Flor Motuda acusado por un acto tan deplorable cómo violacion, aún lo tenemos sentado en el congreso y legislando sin ningún tipo de sanción"
22,1404264900386492421,65467061,1404264269106012160,"@camilaemiliasv Igualmente, amiguita, descansa! 🙆‍♀️🌸🌸🌸"
23,1383518953201311748,3090538753,0,"💪Hoy entregamos 15 kits humanitarios 📦 a la comisaría de San Pedro de Atacama y capacitamos a personal de Carabineros sobre actual contexto migratorio y flujos de personas venezolanas. 

Gracias al apoyo financiero de ➡@StatePRM https://t.co/hMa6RLJkin"
24,1405332845191745540,123955962,0,"Mucho que revisar del panfleto programatico del Partido Comunista pero desde ya prender las alarmas: Daniel Jadue quiere coordinarse con Haiti para facilitar y legalizar la llegada de miles de inmigrantes al país, liberalizando las fronteras. Será un tema central de la campaña https://t.co/5wA5bZJ8KA"
